id,observed_on,latitude,longitude,positional_accuracy,place_county_name,place_state_name,species_guess
90063888,2021-08-05,39.1595954895,-78.1585845947,65.0,Frederick,Virginia,Spotted Lanternfly
90159257,2021-08-06,39.18580108,-78.18000617,8.0,Winchester,Virginia,Spotted Lanternfly
90277335,2021-08-07,39.18589343,-78.16232011,4.0,Winchester,Virginia,Spotted Lanternfly
90298100,2021-08-07,39.1872783333,-78.179275,10.0,Winchester,Virginia,Spotted Lanternfly
90457373,2021-08-08,39.18428866,-78.13543129,9.0,Frederick,Virginia,Spotted Lanternfly
90543886,2021-08-09,39.0539555,-78.1667466667,11.0,Frederick,Virginia,Spotted Lanternfly
91135358,2021-08-14,39.186928884,-78.1738325935,9.0,Winchester,Virginia,Spotted Lanternfly
91188773,2021-08-14,39.1873283333,-78.1305833333,6.0,Frederick,Virginia,Spotted Lanternfly
91297424,2021-08-15,39.1857116667,-78.1772466667,3.0,Winchester,Virginia,Spotted Lanternfly
91541294,2021-08-17,39.1872,-78.163375,23.0,Winchester,Virginia,Spotted Lanternfly
91628102,2021-08-18,38.08717144,-78.44238326,9.0,Albemarle,Virginia,Spotted Lanternfly
91780129,2021-08-19,39.1863746643,-78.1314620972,7.0,Frederick,Virginia,Spotted Lanternfly
91787875,2021-08-19,39.1851196289,-78.1655578613,65.0,Winchester,Virginia,Spotted Lanternfly
91807598,2021-08-19,39.1852072805,-78.1652578419,24.0,Winchester,Virginia,Spotted Lanternfly
91906281,2021-08-20,39.1820853905,-78.1668565795,37.0,Winchester,Virginia,Spotted Lanternfly
92565106,2021-08-26,39.1867257729,-78.1720607355,188.0,Winchester,Virginia,Spotted Lanternfly
93604535,2021-09-04,39.1846253448,-78.1670856799,47.0,Winchester,Virginia,Spotted Lanternfly
93605152,2021-09-04,39.1836689082,-78.1665762073,14.0,Winchester,Virginia,Spotted Lanternfly
93605172,2021-09-04,39.0518455505,-78.3712615967,65.0,Shenandoah,Virginia,Spotted Lanternfly
