id,observed_on,latitude,longitude,positional_accuracy,place_county_name,place_state_name,place_country_name,species_guess
87880807,2021-07-13,39.3798623038,-77.2787340085,68.0,Frederick,Maryland,United States,tree-of-heaven
87882924,2021-07-13,39.6362069121,-78.8328400201,82.0,Allegany,Maryland,United States,tree-of-heaven
87894892,2021-07-20,39.71455797,-78.32207491,9.0,Washington,Maryland,United States,tree-of-heaven
87986153,2021-07-21,39.0228614118,-76.0649571475,3.0,Queen Anne's,Maryland,United States,tree-of-heaven
87988029,2021-07-21,39.412754816,-76.5936947242,5.0,Baltimore,Maryland,United States,tree-of-heaven
88043268,2021-07-21,39.5387466667,-77.7105166667,5.0,Washington,Maryland,United States,tree-of-heaven
88131468,2021-07-22,39.509725,-77.5596166667,116.0,Frederick,Maryland,United States,tree-of-heaven
88147772,2021-07-22,39.5033683777,-76.1632919312,65.0,Harford,Maryland,United States,tree-of-heaven
88170773,2021-07-22,39.2152331491,-76.8555751314,21.0,Howard,Maryland,United States,tree-of-heaven
88173160,2021-07-21,38.9894916667,-76.99778,16.0,Montgomery,Maryland,United States,tree-of-heaven
88264727,2021-07-23,39.0566472993,-76.5033591802,319.0,Anne Arundel,Maryland,United States,tree-of-heaven
88406394,2021-07-24,39.6296619574,-76.5062739138,131.0,Harford,Maryland,United States,tree-of-heaven
88597878,2021-07-25,38.4662215053,-77.0297560927,31.0,Charles,Maryland,United States,tree-of-heaven
88718191,2021-07-26,39.5365866667,-77.6196366667,7.0,Washington,Maryland,United States,tree-of-heaven
88860160,2021-07-27,39.2311166667,-77.026,4.0,Howard,Maryland,United States,tree-of-heaven
88973979,2021-07-28,39.3897781372,-76.7469329834,65.0,Baltimore,Maryland,United States,tree-of-heaven
88981307,2021-07-28,39.5268135071,-75.8915328979,13.0,Cecil,Maryland,United States,tree-of-heaven
89072179,2021-07-29,39.0756568909,-77.4223556519,15.0,Montgomery,Maryland,United States,tree-of-heaven
89191860,2021-07-29,39.6211391399,-77.7340884524,91.0,Washington,Maryland,United States,tree-of-heaven
89191918,2021-07-29,39.619590008,-77.7347141392,198.0,Washington,Maryland,United States,tree-of-heaven
89191956,2021-07-29,39.619590008,-77.7347141392,198.0,Washington,Maryland,United States,tree-of-heaven
89257333,2021-07-30,38.8796884282,-76.9040438777,190.0,Prince George's,Maryland,United States,tree-of-heaven
89395070,2021-07-31,39.2883550468,-77.1619429661,175.0,Montgomery,Maryland,United States,tree-of-heaven
89482464,2021-07-31,39.575324691,-75.823266501,4.0,Cecil,Maryland,United States,tree-of-heaven
89659448,2021-08-02,38.9508837,-76.5128732,1600.0,Anne Arundel,Maryland,United States,tree-of-heaven
89698420,2021-08-02,39.0087969217,-76.8897357824,9.0,Howard,Maryland,United States,tree-of-heaven
89815521,2021-07-30,39.4735490915,-77.4375416148,1282.0,Frederick,Maryland,United States,tree-of-heaven
89841988,2021-08-03,39.3100434798,-77.6271013063,8.0,Frederick,Maryland,United States,tree-of-heaven
89930943,2021-08-04,38.9323990934,-76.938657695,16.0,Prince George's,Maryland,United States,tree-of-heaven
89964879,2021-08-04,38.9753723145,-77.0091781616,65.0,Montgomery,Maryland,United States,tree-of-heaven
89975338,2021-08-04,39.4909117081,-77.6946318227,73.0,Washington,Maryland,United States,tree-of-heaven
90055975,2021-08-05,39.4907833333,-77.7653583333,27.0,Washington,Maryland,United States,tree-of-heaven
90181175,2021-08-06,38.2096906159,-76.7449489855,3071.0,Saint Mary's,Maryland,United States,tree-of-heaven
90187813,2021-08-05,38.7907048341,-76.9877815389,86.0,Prince George's,Maryland,United States,tree-of-heaven
90324906,2021-08-07,39.103286386,-76.5823534157,23.0,Anne Arundel,Maryland,United States,tree-of-heaven
90395909,2021-08-08,39.0313102445,-77.0693262388,3.0,Montgomery,Maryland,United States,tree-of-heaven
90524375,2021-08-09,38.3989050593,-75.5735813229,6.0,Wicomico,Maryland,United States,tree-of-heaven
90538376,2021-08-07,39.6517302527,-78.2410206838,152.0,Washington,Maryland,United States,tree-of-heaven
90547512,2021-08-09,39.5737416667,-77.6462166667,65.0,Washington,Maryland,United States,tree-of-heaven
90554945,2021-08-09,39.411191158,-76.637250371,4.0,Baltimore,Maryland,United States,tree-of-heaven
90742599,2021-08-10,39.4641583333,-75.7741466667,4.0,Cecil,Maryland,United States,tree-of-heaven
90742612,2021-08-10,39.4641616667,-75.7740866667,4.0,Cecil,Maryland,United States,tree-of-heaven
90742630,2021-08-10,39.464195,-75.7740783333,4.0,Cecil,Maryland,United States,Айлант высочайший
90882921,2021-08-11,39.0252541875,-77.0216813828,229.0,Montgomery,Maryland,United States,tree-of-heaven
91111982,2021-08-14,39.3496389594,-77.3909957708,5.0,Frederick,Maryland,United States,tree-of-heaven
91124058,2021-08-14,38.571951231,-76.7718268466,5.0,Charles,Maryland,United States,tree-of-heaven
91537756,2021-08-17,39.40450528,-76.35299105,7.0,Harford,Maryland,United States,tree-of-heaven
91791811,2021-08-19,39.58315,-77.651925,4.0,Washington,Maryland,United States,tree-of-heaven
92010368,2021-08-21,39.4323196411,-76.6487426758,65.0,Baltimore,Maryland,United States,tree-of-heaven
92149744,2021-08-14,39.5005402094,-77.6231783699,43.0,Washington,Maryland,United States,tree-of-heaven
92300889,2021-08-23,39.4590190656,-77.3925872408,65.0,Frederick,Maryland,United States,tree-of-heaven
92316563,2021-08-23,39.5015494159,-76.6236447707,43.0,Baltimore,Maryland,United States,tree-of-heaven
92351644,2021-08-23,39.2878133333,-76.5651333333,65.0,"Baltimore City, MD",Maryland,United States,tree-of-heaven
92945378,2021-08-29,38.9246221539,-76.905499762,8.0,Prince George's,Maryland,United States,tree-of-heaven
93029386,2021-08-30,39.3330039978,-76.6270675659,65.0,"Baltimore City, MD",Maryland,United States,tree-of-heaven
93064167,2021-08-30,39.0552669227,-77.2526629216,8.0,Montgomery,Maryland,United States,tree-of-heaven
93187112,2021-08-31,39.2555383333,-76.5270166667,37.0,Baltimore,Maryland,United States,tree-of-heaven
93217069,2021-08-31,39.2239238,-77.4521324,255.0,Frederick,Maryland,United States,tree-of-heaven
93411015,2021-09-02,39.5683153146,-76.8567144634,189.0,Baltimore,Maryland,United States,tree-of-heaven
93520086,2021-09-03,39.1897244971,-76.839219809,966.0,Howard,Maryland,United States,tree-of-heaven
93638586,2021-09-04,39.0915145874,-77.1188659668,65.0,Montgomery,Maryland,United States,tree-of-heaven
93882475,2021-09-06,39.3060387466,-77.5834242368,13.0,Frederick,Maryland,United States,tree-of-heaven
93910737,2021-09-06,39.0797462463,-77.3402481079,288.0,Montgomery,Maryland,United States,tree-of-heaven
93913940,2021-09-06,38.705745697,-76.5315933228,13.0,Calvert,Maryland,United States,tree-of-heaven
94164463,2021-09-08,39.5499216667,-77.00186945,4.0,Carroll,Maryland,United States,tree-of-heaven
94263345,2021-09-09,38.6387825012,-76.6683349609,4.0,Calvert,Maryland,United States,tree-of-heaven
94263876,2021-09-09,39.3036216667,-76.6106333333,4.0,"Baltimore City, MD",Maryland,United States,tree-of-heaven
94603898,2021-09-12,39.2549117387,-76.6221234049,65.0,"Baltimore City, MD",Maryland,United States,tree-of-heaven
94611283,2021-09-12,39.6497125179,-76.9898576663,5.0,Carroll,Maryland,United States,tree-of-heaven
94728431,2021-09-13,38.9336461702,-76.937443614,14.0,Prince George's,Maryland,United States,tree-of-heaven
94855774,2021-09-14,38.970874059,-76.7553142458,189.0,Prince George's,Maryland,United States,tree-of-heaven
95448956,2021-09-19,38.9876488,-76.9220875,495.0,Prince George's,Maryland,United States,tree-of-heaven
95562826,2021-09-20,39.181836362,-77.1728179452,16.0,Montgomery,Maryland,United States,tree-of-heaven
95655721,2021-09-11,39.5102136267,-77.0294447163,9.0,Carroll,Maryland,United States,tree-of-heaven
95880331,2021-09-21,39.0309146606,-77.0059553628,9.0,Montgomery,Maryland,United States,tree-of-heaven
95887151,2021-09-23,39.3826980591,-77.6416854858,35.0,Frederick,Maryland,United States,tree-of-heaven
95913902,2021-09-12,39.7440817664,-78.7026102701,4.0,Allegany,Maryland,United States,tree-of-heaven
96245809,2021-09-26,38.9042597672,-76.9072988686,5.0,Prince George's,Maryland,United States,tree-of-heaven
96402951,2021-09-27,39.3629150391,-77.0303573608,65.0,Carroll,Maryland,United States,tree-of-heaven
96475498,2021-09-28,39.0445251465,-76.2337112427,6.0,Kent,Maryland,United States,tree-of-heaven
96792727,2021-10-01,39.4447958563,-77.1230748576,5.0,Carroll,Maryland,United States,tree-of-heaven
97518766,2021-10-04,39.4914142378,-76.8816832785,193.0,Baltimore,Maryland,United States,tree-of-heaven
97561905,2021-10-08,38.9613722734,-77.1111644039,9.0,Montgomery,Maryland,United States,tree-of-heaven
97579255,2021-10-08,39.0472816897,-76.6396586375,5.0,Anne Arundel,Maryland,United States,tree-of-heaven
97726562,2021-10-09,39.5786437935,-76.0144373235,17.0,Harford,Maryland,United States,tree-of-heaven
97808803,2021-10-10,39.1442721969,-77.0612826857,7.0,Montgomery,Maryland,United States,tree-of-heaven
97846523,2021-10-04,38.5576622022,-76.5955080092,2.0,Calvert,Maryland,United States,tree-of-heaven
98181840,2021-10-12,38.9925333333,-77.01465555,10.0,Montgomery,Maryland,United States,tree-of-heaven
98290709,2021-10-15,39.6280753834,-77.6720862871,4.0,Washington,Maryland,United States,
98401071,2021-10-16,38.9995688685,-76.9418386904,134.0,Prince George's,Maryland,United States,tree-of-heaven
98557083,2021-10-09,39.2666079006,-76.6165034258,4.0,"Baltimore City, MD",Maryland,United States,tree-of-heaven
98746281,2018-07-29,38.707848175,-76.6921057052,42.0,Calvert,Maryland,United States,tree-of-heaven
98781399,2018-07-31,38.4058996243,-76.6704607804,169.0,Saint Mary's,Maryland,United States,tree-of-heaven
98863551,2016-08-19,39.3766972222,-76.7273333333,10.0,Baltimore,Maryland,United States,tree-of-heaven
99101722,2021-07-12,39.6103583333,-78.8000722222,104.0,Allegany,Maryland,United States,tree-of-heaven
99238447,2021-10-24,38.9368515015,-76.5559387207,65.0,Anne Arundel,Maryland,United States,tree-of-heaven
99274344,2021-10-11,39.2094221234,-76.5335489378,122.0,"Baltimore City, MD",Maryland,United States,tree-of-heaven
99343819,2021-10-25,39.2829827406,-76.5919023352,8.0,"Baltimore City, MD",Maryland,United States,tree-of-heaven
100024006,2021-11-01,39.6703833333,-76.7653583333,30.0,Baltimore,Maryland,United States,tree-of-heaven
