id,observed_on,latitude,longitude,positional_accuracy,place_county_name,place_state_name,place_country_name,species_guess
26871112,2019-06-12,37.53967855,-77.5608895,7.0,Richmond city,Virginia,United States,tree-of-heaven
26872307,2019-06-12,37.53893515,-77.55998127,16.0,Richmond city,Virginia,United States,tree-of-heaven
26932022,2019-06-13,38.9683133333,-77.54538,16.0,Loudoun,Virginia,United States,tree-of-heaven
26963855,2019-06-14,37.53823757,-77.56142769,7.0,Richmond city,Virginia,United States,tree-of-heaven
26980235,2019-06-03,39.0205083333,-77.2507466667,64.0,Fairfax,Virginia,United States,tree-of-heaven
27001886,2017-07-03,38.7849216667,-77.0542611667,5.0,Fairfax,Virginia,United States,tree-of-heaven
27019637,2019-06-15,39.0243095483,-77.4965822489,83.0,Loudoun,Virginia,United States,tree-of-heaven
27024899,2019-06-15,38.76850639,-77.08821039,7.0,Fairfax,Virginia,United States,tree-of-heaven
27048150,2019-06-15,37.53952787,-77.56348138,9.0,Richmond city,Virginia,United States,tree-of-heaven
27048961,2019-06-15,37.53935656,-77.56334317,15.0,Richmond city,Virginia,United States,tree-of-heaven
27056371,2019-06-15,38.8396130596,-77.1037155949,5.0,Alexandria,Virginia,United States,tree-of-heaven
27064577,2019-06-02,38.741175954,-77.5519403387,244.0,Prince William,Virginia,United States,tree-of-heaven
27096057,2019-06-16,37.58627,-77.3330783333,6.0,Hanover,Virginia,United States,tree-of-heaven
27097452,2016-07-04,39.0337777778,-77.9551916667,5.0,Clarke,Virginia,United States,tree-of-heaven
27118492,2019-06-16,38.4243416,-78.8419803,800.0,Harrisonburg,Virginia,United States,tree-of-heaven
27167156,2019-06-13,38.7653384591,-78.2944803593,5.0,Page,Virginia,United States,tree-of-heaven
27205884,2019-06-18,38.9814046445,-78.3627659642,5.0,Shenandoah,Virginia,United States,tree-of-heaven
27322536,2019-06-20,37.54658117,-77.55245461,9.0,Richmond city,Virginia,United States,tree-of-heaven
27322583,2019-06-20,37.54653878,-77.55248482,19.0,Richmond city,Virginia,United States,tree-of-heaven
27460947,2019-06-22,38.96151924,-78.0040499,5.0,Fauquier,Virginia,United States,tree-of-heaven
27471909,2019-06-22,38.78051796,-77.3876297661,5.0,Fairfax,Virginia,United States,tree-of-heaven
27665780,2019-06-25,38.9730157424,-77.3375007883,30.0,Fairfax,Virginia,United States,albero del paradiso
27666420,2019-06-25,38.9788202523,-77.3359878548,10.0,Fairfax,Virginia,United States,tree-of-heaven
27718302,2019-06-26,37.5321596997,-77.4058162066,41.0,Richmond city,Virginia,United States,tree-of-heaven
27815161,2019-06-28,36.6197583333,-78.5529783333,5.0,Mecklenburg,Virginia,United States,tree-of-heaven
27862624,2019-06-29,36.7545921447,-82.9401426933,5.0,Lee,Virginia,United States,tree-of-heaven
27893213,2019-06-29,39.034064728,-77.5241341274,269.0,Loudoun,Virginia,United States,tree-of-heaven
27936850,2019-06-30,38.80450633,-77.10758951,3.0,Alexandria,Virginia,United States,tree-of-heaven
